Local time,Open,High,Low,Close,Volume,Ticker
01.01.2020 14:00:00.000 GMT-0800,83.794,83.794,83.778,0.83782,11.25,CADJPY
01.01.2020 14:30:00.000 GMT-0800,83.766,83.769,83.763,0.83765,24.3,CADJPY
01.01.2020 15:00:00.000 GMT-0800,83.721,83.764,83.697,0.83715,222.78,CADJPY
01.01.2020 15:30:00.000 GMT-0800,83.766,83.778,83.765,0.83778,62.06,CADJPY
01.01.2020 16:00:00.000 GMT-0800,83.799,83.809,83.787,0.83787,144.62,CADJPY
01.01.2020 16:30:00.000 GMT-0800,83.75,83.75,83.749,0.83749,6.37,CADJPY
01.01.2020 17:00:00.000 GMT-0800,83.772,83.784,83.772,0.83782,103.23,CADJPY
01.01.2020 17:30:00.000 GMT-0800,83.756,83.76,83.755,0.83758,60.22,CADJPY
01.01.2020 18:00:00.000 GMT-0800,83.771,83.771,83.755,0.83761,62.18,CADJPY
01.01.2020 18:30:00.000 GMT-0800,83.769,83.777,83.769,0.83774,45.1,CADJPY
01.01.2020 19:00:00.000 GMT-0800,83.741,83.748,83.741,0.83742,96.2,CADJPY
01.01.2020 19:30:00.000 GMT-0800,83.734,83.735,83.725,0.83728,62.61,CADJPY
01.01.2020 20:00:00.000 GMT-0800,83.709,83.711,83.707,0.83708,14.3,CADJPY
01.01.2020 20:30:00.000 GMT-0800,83.718,83.724,83.718,0.83719,41,CADJPY
01.01.2020 21:00:00.000 GMT-0800,83.702,83.706,83.699,0.83706,42,CADJPY
01.01.2020 21:30:00.000 GMT-0800,83.692,83.705,83.691,0.83705,84.51,CADJPY
01.01.2020 22:00:00.000 GMT-0800,83.726,83.734,83.725,0.83729,48.41,CADJPY
01.01.2020 22:30:00.000 GMT-0800,83.739,83.74,83.738,0.8374,4,CADJPY
01.01.2020 23:00:00.000 GMT-0800,83.726,83.736,83.711,0.83735,150.94,CADJPY
01.01.2020 23:30:00.000 GMT-0800,83.739,83.761,83.739,0.83761,81.4,CADJPY
02.01.2020 00:00:00.000 GMT-0800,83.775,83.778,83.762,0.83762,151.18,CADJPY
02.01.2020 00:30:00.000 GMT-0800,83.875,83.876,83.871,0.83871,36,CADJPY
02.01.2020 01:00:00.000 GMT-0800,83.86,83.866,83.856,0.83861,110.45,CADJPY
02.01.2020 01:30:00.000 GMT-0800,83.895,83.895,83.881,0.83884,63.96,CADJPY
02.01.2020 02:00:00.000 GMT-0800,83.849,83.85,83.843,0.83845,52.6,CADJPY
02.01.2020 02:30:00.000 GMT-0800,83.79,83.791,83.775,0.83776,120.48,CADJPY
02.01.2020 03:00:00.000 GMT-0800,83.756,83.757,83.751,0.83754,62.81,CADJPY
02.01.2020 03:30:00.000 GMT-0800,83.692,83.694,83.683,0.83688,91.01,CADJPY
02.01.2020 04:00:00.000 GMT-0800,83.65,83.652,83.644,0.83646,51.13,CADJPY
02.01.2020 04:30:00.000 GMT-0800,83.709,83.715,83.706,0.83711,55,CADJPY
02.01.2020 05:00:00.000 GMT-0800,83.734,83.736,83.725,0.83727,63.25,CADJPY
02.01.2020 05:30:00.000 GMT-0800,83.624,83.659,83.609,0.83658,178.11,CADJPY
02.01.2020 06:00:00.000 GMT-0800,83.658,83.664,83.651,0.83654,112.49,CADJPY
02.01.2020 06:30:00.000 GMT-0800,83.623,83.627,83.6,0.83614,165.88,CADJPY
02.01.2020 07:00:00.000 GMT-0800,83.614,83.624,83.609,0.83612,88.57,CADJPY
02.01.2020 07:30:00.000 GMT-0800,83.451,83.452,83.427,0.83431,195.34,CADJPY
02.01.2020 08:00:00.000 GMT-0800,83.427,83.433,83.408,0.8343,196.63,CADJPY
02.01.2020 08:30:00.000 GMT-0800,83.442,83.442,83.427,0.83434,102.37,CADJPY
02.01.2020 09:00:00.000 GMT-0800,83.426,83.435,83.413,0.83418,124.51,CADJPY
02.01.2020 09:30:00.000 GMT-0800,83.48,83.486,83.48,0.83482,51.61,CADJPY
02.01.2020 10:00:00.000 GMT-0800,83.509,83.514,83.489,0.83491,80.56,CADJPY
02.01.2020 10:30:00.000 GMT-0800,83.514,83.523,83.514,0.83522,94.2,CADJPY
02.01.2020 11:00:00.000 GMT-0800,83.538,83.539,83.532,0.83539,31.17,CADJPY
02.01.2020 11:30:00.000 GMT-0800,83.602,83.605,83.597,0.83604,86.1,CADJPY
02.01.2020 12:00:00.000 GMT-0800,83.565,83.575,83.564,0.83573,127.49,CADJPY
02.01.2020 12:30:00.000 GMT-0800,83.566,83.581,83.564,0.83567,82.87,CADJPY
02.01.2020 13:00:00.000 GMT-0800,83.59,83.594,83.582,0.83584,70.78,CADJPY
02.01.2020 13:30:00.000 GMT-0800,83.562,83.569,83.561,0.83569,15.5,CADJPY
02.01.2020 14:00:00.000 GMT-0800,83.627,83.684,83.612,0.83619,21.66,CADJPY
02.01.2020 14:30:00.000 GMT-0800,83.629,83.63,83.591,0.8362,92.57,CADJPY
02.01.2020 15:00:00.000 GMT-0800,83.616,83.616,83.597,0.83607,83.74,CADJPY
02.01.2020 15:30:00.000 GMT-0800,83.653,83.669,83.653,0.83668,79.41,CADJPY
02.01.2020 16:00:00.000 GMT-0800,83.602,83.602,83.588,0.83593,99.82,CADJPY
02.01.2020 16:30:00.000 GMT-0800,83.575,83.576,83.57,0.83571,62.76,CADJPY
02.01.2020 17:00:00.000 GMT-0800,83.499,83.524,83.499,0.83524,158.02,CADJPY
02.01.2020 17:30:00.000 GMT-0800,83.528,83.528,83.523,0.83528,66.87,CADJPY
02.01.2020 18:00:00.000 GMT-0800,83.351,83.355,83.334,0.83342,188.63,CADJPY
02.01.2020 18:30:00.000 GMT-0800,83.28,83.292,83.278,0.83283,271.93,CADJPY
02.01.2020 19:00:00.000 GMT-0800,83.201,83.21,83.196,0.83201,132.75,CADJPY
02.01.2020 19:30:00.000 GMT-0800,83.119,83.133,83.119,0.83132,53.17,CADJPY
02.01.2020 20:00:00.000 GMT-0800,83.263,83.281,83.263,0.83271,206.21,CADJPY
02.01.2020 20:30:00.000 GMT-0800,83.269,83.271,83.262,0.83267,61.25,CADJPY
02.01.2020 21:00:00.000 GMT-0800,83.224,83.228,83.218,0.83227,69,CADJPY
02.01.2020 21:30:00.000 GMT-0800,83.192,83.197,83.186,0.83197,119.77,CADJPY
02.01.2020 22:00:00.000 GMT-0800,83.211,83.216,83.203,0.83205,74.85,CADJPY
02.01.2020 22:30:00.000 GMT-0800,83.216,83.235,83.216,0.83229,115.75,CADJPY
02.01.2020 23:00:00.000 GMT-0800,83.275,83.275,83.249,0.83251,164.55,CADJPY
02.01.2020 23:30:00.000 GMT-0800,83.226,83.232,83.214,0.83219,178.75,CADJPY
03.01.2020 00:00:00.000 GMT-0800,83.27,83.28,83.248,0.83275,427.05,CADJPY
03.01.2020 00:30:00.000 GMT-0800,83.304,83.308,83.301,0.83305,64.57,CADJPY
03.01.2020 01:00:00.000 GMT-0800,83.257,83.259,83.218,0.83229,187.19,CADJPY
03.01.2020 01:30:00.000 GMT-0800,83.244,83.246,83.225,0.83229,128.19,CADJPY
03.01.2020 02:00:00.000 GMT-0800,83.236,83.267,83.236,0.8326,198.49,CADJPY
03.01.2020 02:30:00.000 GMT-0800,83.243,83.247,83.234,0.83241,173.75,CADJPY
03.01.2020 03:00:00.000 GMT-0800,83.2,83.212,83.191,0.83204,160.63,CADJPY
03.01.2020 03:30:00.000 GMT-0800,83.158,83.16,83.137,0.83144,91.03,CADJPY
03.01.2020 04:00:00.000 GMT-0800,83.089,83.103,83.088,0.83088,103.95,CADJPY
03.01.2020 04:30:00.000 GMT-0800,83.152,83.17,83.149,0.8317,95.68,CADJPY
03.01.2020 05:00:00.000 GMT-0800,83.189,83.229,83.189,0.83229,92.94,CADJPY
03.01.2020 05:30:00.000 GMT-0800,83.266,83.269,83.262,0.83268,78.81,CADJPY
03.01.2020 06:00:00.000 GMT-0800,83.259,83.275,83.252,0.83274,166.41,CADJPY
03.01.2020 06:30:00.000 GMT-0800,83.248,83.297,83.244,0.83297,248.36,CADJPY
03.01.2020 07:00:00.000 GMT-0800,83.309,83.309,83.172,0.83226,914.17,CADJPY
03.01.2020 07:30:00.000 GMT-0800,83.213,83.22,83.205,0.83214,140.52,CADJPY
03.01.2020 08:00:00.000 GMT-0800,83.224,83.231,83.207,0.83214,193.19,CADJPY
03.01.2020 08:30:00.000 GMT-0800,83.171,83.182,83.163,0.83182,147.04,CADJPY
03.01.2020 09:00:00.000 GMT-0800,83.133,83.133,83.126,0.83131,37.47,CADJPY
03.01.2020 09:30:00.000 GMT-0800,83.103,83.106,83.1,0.83104,62.03,CADJPY
03.01.2020 10:00:00.000 GMT-0800,83.156,83.156,83.142,0.83144,55.66,CADJPY
03.01.2020 10:30:00.000 GMT-0800,83.087,83.094,83.085,0.8309,109.2,CADJPY
